AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time S,Latitude,Longitude,Status
252.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,2.0,22.9,53.0,15.0,1015.0,157.0,252.0,22.0,2.0,2021-01-22 13:00:00,21.0272212,106.0342099,Very unhealthy
191.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,48.0,22.9,58.0,47.0,1016.0,157.0,191.0,22.0,2.0,2021-01-22 12:00:00,21.03982,105.84726,Unhealthy
161.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,9.0,22.9,53.0,31.0,1015.0,90.0,161.0,22.0,2.0,2021-01-22 12:00:00,20.98832,105.854897,Unhealthy
164.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,7.0,22.9,58.0,30.0,1016.0,114.0,164.0,22.0,2.0,2021-01-22 12:00:00,21.01994,105.77056,Unhealthy
183.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,9.0,22.9,58.0,20.0,1016.0,126.0,183.0,22.0,2.0,2021-01-22 12:00:00,21.01525,105.80013,Unhealthy
186.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,14.0,22.9,58.0,25.0,1016.0,151.0,186.0,22.0,2.0,2021-01-22 12:00:00,21.02022,105.81232,Unhealthy
158.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",pm25,7.0,22.9,53.0,20.0,1015.0,94.0,158.0,22.0,2.0,2021-01-22 12:00:00,21.00577,105.74842,Unhealthy
188.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,17.0,22.9,53.0,37.0,1015.0,152.0,188.0,22.0,2.0,2021-01-22 12:00:00,21.05121,105.78232,Unhealthy
159.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,9.0,22.9,58.0,10.0,1016.0,95.0,159.0,22.0,2.0,2021-01-22 12:00:00,21.0072,105.83572,Unhealthy
212.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm10,5.0,22.9,83.6,10.0,989.4,212.0,208.0,17.1,1.0,2021-01-22 13:00:00,22.6782,106.245,Very unhealthy
114.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,49.0,10.0,1007.0,42.0,114.0,32.0,1.5,2021-01-23 15:00:00,10.782978,106.700711,Unhealthy for sensitive groups
189.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.2,22.9,49.0,8.7,1013.0,42.0,189.0,23.0,3.0,2021-01-23 13:00:00,21.0215063,105.8188748,Unhealthy
26.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,4.0,22.9,62.1,12.0,924.2,25.0,26.0,25.8,2.0,2021-01-23 15:00:00,13.998599,107.996482,Good
169.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,11.0,22.9,49.0,28.0,1013.5,123.0,169.0,23.0,3.3,2021-01-23 13:00:00,21.04975,105.74187,Unhealthy
176.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,9.0,22.9,68.0,16.0,1017.0,102.0,176.0,19.0,0.5,2021-01-23 11:00:00,21.1137452,105.9268934,Unhealthy
151.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,40.0,22.9,73.1,2.0,1002.2,55.0,151.0,20.9,2.0,2021-01-23 15:00:00,22.3221386,104.1214227,Unhealthy
65.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,81.3,9.0,1000.4,34.0,65.0,23.7,2.0,2021-01-23 15:00:00,20.9416,107.1158,Moderate
51.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,7.0,22.9,81.3,8.0,1000.4,29.0,51.0,23.7,2.0,2021-01-23 14:00:00,21.0357507,106.7641068,Moderate
226.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,6.0,22.9,49.0,20.0,1012.0,136.0,226.0,23.0,3.0,2021-01-23 15:00:00,21.1232473,106.2883295,Very unhealthy
214.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,1.0,22.9,49.0,13.0,1012.0,128.0,214.0,23.0,3.0,2021-01-23 15:00:00,21.0272212,106.0342099,Very unhealthy
170.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,40.0,22.9,49.0,37.0,1013.0,130.0,170.0,23.0,3.0,2021-01-23 13:00:00,21.03982,105.84726,Unhealthy
149.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,7.0,22.9,49.0,33.0,1013.5,81.0,149.0,23.0,3.3,2021-01-23 13:00:00,20.98832,105.854897,Unhealthy for sensitive groups
157.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,9.0,22.9,49.0,35.0,1013.0,92.0,157.0,23.0,3.0,2021-01-23 13:00:00,21.01994,105.77056,Unhealthy
160.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,10.0,22.9,49.0,23.0,1013.5,106.0,160.0,23.0,3.3,2021-01-23 13:00:00,21.01525,105.80013,Unhealthy
167.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,13.0,22.9,49.0,20.0,1013.0,123.0,167.0,23.0,3.0,2021-01-23 13:00:00,21.02022,105.81232,Unhealthy
151.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",pm25,12.0,22.9,49.0,23.0,1013.0,83.0,151.0,23.0,3.0,2021-01-23 13:00:00,21.00577,105.74842,Unhealthy
168.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,11.0,22.9,49.0,31.0,1013.5,121.0,168.0,23.0,3.3,2021-01-23 13:00:00,21.05121,105.78232,Unhealthy
155.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,11.0,22.9,49.0,10.0,1013.0,89.0,155.0,23.0,3.0,2021-01-23 13:00:00,21.0072,105.83572,Unhealthy
340.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm10,5.0,22.9,68.9,10.0,985.9,340.0,194.0,18.0,1.0,2021-01-23 15:00:00,22.6782,106.245,Hazardous
80.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,74.0,10.0,1009.0,42.0,80.0,27.0,4.1,2021-01-25 19:00:00,10.782978,106.700711,Moderate
139.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.2,22.9,77.0,12.8,1015.0,42.0,139.0,21.0,3.0,2021-01-25 19:00:00,21.0215063,105.8188748,Unhealthy for sensitive groups
70.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,6.0,22.9,43.4,17.0,923.4,53.0,70.0,29.0,2.0,2021-01-25 19:00:00,13.998599,107.996482,Moderate
29.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",pm25,1.0,22.9,88.0,10.0,1014.5,24.0,29.0,22.0,2.8,2021-01-25 15:00:00,16.46226,107.596351,Good
147.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,23.0,22.9,77.0,23.0,1015.0,95.0,147.0,21.0,3.8,2021-01-25 18:00:00,21.04975,105.74187,Unhealthy for sensitive groups
176.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,9.0,22.9,68.0,16.0,1017.0,102.0,176.0,19.0,0.5,2021-01-23 11:00:00,21.1137452,105.9268934,Unhealthy
127.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,36.0,22.9,61.8,2.0,1001.1,56.0,127.0,24.5,1.0,2021-01-25 19:00:00,22.3221386,104.1214227,Unhealthy for sensitive groups
32.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,95.7,18.0,1002.0,17.0,32.0,19.8,1.0,2021-01-25 19:00:00,20.9416,107.1158,Good
11.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,5.0,22.9,95.7,29.0,1002.0,7.0,11.0,19.8,1.0,2021-01-25 18:00:00,21.0357507,106.7641068,Good
137.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,5.0,22.9,77.0,46.0,1015.0,91.0,137.0,21.0,3.0,2021-01-25 19:00:00,21.1232473,106.2883295,Unhealthy for sensitive groups
116.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,4.0,22.9,77.0,17.0,1015.0,66.0,116.0,21.0,3.8,2021-01-25 19:00:00,21.0272212,106.0342099,Unhealthy for sensitive groups
150.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,51.0,22.9,77.0,48.0,1015.0,102.0,150.0,21.0,3.8,2021-01-25 18:00:00,21.03982,105.84726,Unhealthy for sensitive groups
106.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,5.0,22.9,77.0,11.0,1015.0,66.0,106.0,21.0,3.8,2021-01-25 18:00:00,20.98832,105.854897,Unhealthy for sensitive groups
